molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,KAIN,Fock operator,Fock matrix,Total SCF
ch4_040,5,128,32,1.30688e+02,5.72688e+00,17.4785,3.17210e+00,3.01091e+02,2.91954e+01,5.53987e+02
ch4_050,5,016,32,5.69925e+02,8.36742e+00,84.2371,7.12944e+00,1.07290e+02,4.33432e+01,9.85674e+02
ch4_050,5,032,16,4.24760e+02,1.05551e+01,48.0092,6.20220e+00,2.48681e+02,7.65107e+01,9.16431e+02
ch4_050,5,032,32,3.98848e+02,7.26554e+00,41.0848,3.49308e+00,1.35123e+02,4.16588e+01,7.22927e+02
ch4_050,5,048,16,4.27102e+02,9.99234e+00,37.8218,3.98808e+00,2.17660e+02,1.15513e+02,8.93896e+02
ch4_050,5,048,32,3.36607e+02,5.63316e+00,35.8048,3.23349e+00,1.61993e+02,3.30949e+01,6.57268e+02
ch4_050,5,064,16,2.70807e+02,1.57721e+01,28.1177,1.90023e+00,3.76114e+02,4.25568e+01,8.16927e+02
ch4_050,5,064,32,2.68493e+02,5.33795e+00,24.2917,2.87345e+00,2.03954e+02,2.80182e+01,6.08793e+02
ch4_050,5,080,08,3.91974e+02,1.95957e+01,39.4026,8.15681e+00,5.09366e+02,6.51336e+01,1.13369e+03
ch4_050,5,080,16,3.08332e+02,1.58177e+01,21.4665,5.31051e+00,3.75542e+02,4.70883e+01,8.44346e+02
ch4_050,5,080,32,2.61299e+02,1.15744e+01,19.1328,3.28639e+00,2.46982e+02,2.64022e+01,6.35949e+02
ch4_050,5,096,16,2.57711e+02,9.54378e-01,19.8684,9.92733e-01,4.58482e+02,4.08014e+01,8.62355e+02
ch4_050,5,096,32,2.43436e+02,4.19102e+00,21.9969,2.69409e+00,3.01185e+02,3.88019e+01,6.92969e+02
ch4_050,5,112,08,3.62733e+02,1.29054e+01,42.1741,5.86658e+00,6.35417e+02,4.37756e+01,1.19928e+03
ch4_050,5,112,16,2.27457e+02,9.15827e+00,20.7773,3.51523e+00,4.95742e+02,4.10083e+01,8.64915e+02
ch4_050,5,112,32,2.21628e+02,7.85514e+00,21.1443,2.55917e+00,3.39708e+02,3.85865e+01,6.97993e+02
ch4_050,5,128,08,3.68671e+02,3.17802e+01,43.4942,7.46651e+00,6.58696e+02,6.22909e+01,1.27527e+03
ch4_050,5,128,16,2.45778e+02,2.45960e+01,22.2488,7.24375e+00,5.26913e+02,5.94031e+01,9.57064e+02
ch4_050,5,128,32,2.49722e+02,1.82674e+01,22.2517,4.04788e+00,3.57257e+02,5.03644e+01,7.72410e+02
ch4_060,5,032,32,6.66344e+02,1.23249e+01,60.0192,5.68405e+00,1.71014e+02,3.56521e+01,1.08386e+03
ch4_060,5,048,16,5.76739e+02,1.49355e+00,37.3337,1.98206e+00,2.22655e+02,1.76187e+02,1.13813e+03
ch4_060,5,048,32,5.22637e+02,1.79774e+00,34.5935,2.31469e+00,2.09647e+02,4.75315e+01,9.30734e+02
ch4_060,5,064,16,4.37511e+02,1.38467e+01,28.5645,6.77116e+00,4.72899e+02,4.19488e+01,1.09365e+03
ch4_060,5,064,32,3.78389e+02,9.35028e+00,25.9658,2.93844e+00,2.72401e+02,3.00224e+01,8.10471e+02
ch4_060,5,080,16,4.48592e+02,1.14112e+01,27.7064,1.43502e+00,5.27407e+02,3.50891e+01,1.15847e+03
ch4_060,5,080,32,3.68460e+02,2.15373e+00,23.5365,1.40950e+00,3.26790e+02,3.12538e+01,8.53711e+02
ch4_060,5,096,16,4.88708e+02,1.47412e+01,21.5107,5.63027e+00,4.63817e+02,9.87336e+01,1.18318e+03
ch4_060,5,096,32,3.85314e+02,1.45709e+01,21.5338,4.72669e+00,3.66715e+02,3.41261e+01,9.14292e+02
ch4_060,5,112,16,4.26424e+02,1.30446e+01,20.5817,2.34959e+00,6.26961e+02,4.31918e+01,1.23312e+03
ch4_060,5,112,32,3.44627e+02,1.14693e+01,16.5183,2.70468e+00,4.31328e+02,2.99667e+01,9.32946e+02
ch4_060,5,128,16,3.97377e+02,1.38273e+01,18.3143,2.24801e+00,6.85579e+02,3.70097e+01,1.24516e+03
ch4_060,5,128,32,3.27716e+02,1.03622e+01,18.8251,2.15620e+00,4.91775e+02,3.16415e+01,9.65818e+02
ch4_060,5,144,16,4.23423e+02,3.07355e+01,18.9378,7.04008e+00,7.31408e+02,4.91878e+01,1.34897e+03
ch4_060,5,144,32,3.80283e+02,2.23824e+01,20.7236,4.60028e+00,5.17495e+02,7.33170e+01,1.10505e+03
