molecule,prec,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
ch4_004,5,01,01,1.11111e-01,5.86990e+00,1.54870e-05,8.56191e+00,1.45430e+01
ch4_004,5,01,02,1.23777e-01,3.66152e+00,2.02520e-05,5.07704e+00,8.86248e+00
ch4_004,5,01,04,2.21767e-01,2.83200e+00,1.92880e-05,3.36869e+00,6.42259e+00
ch4_004,5,01,08,2.74137e-01,2.11912e+00,1.83890e-05,2.40779e+00,4.80121e+00
ch4_004,5,01,16,2.82116e-01,1.87631e+00,1.73520e-05,1.88573e+00,4.04429e+00
ch4_004,5,01,32,3.40832e-01,1.81519e+00,2.26370e-05,1.77022e+00,3.92641e+00
ch4_004,5,02,01,7.29774e-02,3.20494e+00,1.89990e-05,4.73493e+00,8.01300e+00
ch4_004,5,02,02,8.36544e-02,2.00291e+00,7.78700e-06,2.66795e+00,4.75464e+00
ch4_004,5,02,04,1.59990e-01,1.35658e+00,1.47000e-05,1.60955e+00,3.12625e+00
ch4_004,5,02,08,7.34447e-02,9.76801e-01,1.88060e-05,1.14731e+00,2.19768e+00
ch4_004,5,02,16,7.69700e-02,8.69806e-01,1.61430e-05,8.92229e-01,1.83911e+00
ch4_004,5,02,32,3.51728e-01,1.22012e+00,1.46920e-05,1.01264e+00,2.58461e+00
ch4_004,5,04,01,5.83874e-02,2.58450e+00,1.65870e-05,3.00993e+00,5.65297e+00
ch4_004,5,04,02,6.36221e-02,1.61807e+00,1.89410e-05,2.29956e+00,3.98139e+00
ch4_004,5,04,04,2.48136e-01,1.37112e+00,1.83040e-05,1.49318e+00,3.11257e+00
ch4_004,5,04,08,2.35164e-01,9.35954e-01,1.48820e-05,8.36077e-01,2.00733e+00
ch4_004,5,04,16,2.48132e-01,7.78916e-01,1.53600e-05,6.07332e-01,1.63452e+00
ch4_004,5,04,32,2.62324e-01,6.41411e-01,1.54560e-05,5.48025e-01,1.45191e+00
ch4_004,5,08,01,3.45803e-02,1.45224e+00,2.08670e-05,1.87316e+00,3.36012e+00
ch4_004,5,08,02,4.94228e-02,9.60073e-01,1.07150e-05,1.51871e+00,2.52833e+00
ch4_004,5,08,04,5.18179e-02,5.69785e-01,1.76300e-05,8.22156e-01,1.44389e+00
ch4_004,5,08,08,3.01839e-02,4.25481e-01,1.77760e-05,5.97269e-01,1.05306e+00
ch4_004,5,08,16,4.52693e-02,3.05120e-01,1.59800e-05,3.58961e-01,7.09474e-01
ch4_004,5,08,32,2.28499e-01,3.59364e-01,2.51200e-05,3.58309e-01,9.46347e-01
ch4_004,5,16,01,3.32230e-02,1.00958e+00,8.80100e-06,1.63547e+00,2.67839e+00
ch4_004,5,16,02,3.06529e-02,6.41521e-01,9.88600e-06,1.05893e+00,1.73124e+00
ch4_004,5,16,04,3.14362e-02,3.60094e-01,8.10300e-06,5.54901e-01,9.46544e-01
ch4_004,5,16,08,2.29471e-02,2.18433e-01,9.86100e-06,2.93212e-01,5.34719e-01
ch4_004,5,16,16,1.69108e-02,2.28611e-01,2.45540e-05,3.10568e-01,5.56252e-01
ch4_004,5,16,32,3.02085e-01,2.31104e-01,1.97940e-05,2.39184e-01,7.72505e-01
ch4_004,6,01,01,2.16912e-01,1.16382e+01,1.95050e-05,2.07792e+01,3.26345e+01
ch4_004,6,01,02,3.08934e-01,7.07047e+00,1.42972e-02,1.18914e+01,1.92852e+01
ch4_004,6,01,04,4.69718e-01,5.43466e+00,2.24700e-05,7.62517e+00,1.35297e+01
ch4_004,6,01,08,5.66105e-01,4.20594e+00,2.04960e-05,5.69853e+00,1.04707e+01
ch4_004,6,01,16,6.05768e-01,3.47447e+00,2.06410e-05,3.78202e+00,7.86241e+00
ch4_004,6,01,32,5.80046e-01,3.27864e+00,1.95850e-05,3.02544e+00,6.88430e+00
ch4_004,6,02,01,1.45811e-01,6.35594e+00,1.65130e-05,1.14992e+01,1.80011e+01
ch4_004,6,02,02,1.44226e-01,3.78868e+00,9.04900e-06,6.35611e+00,1.02891e+01
ch4_004,6,02,04,1.92005e-01,2.55036e+00,1.67800e-05,4.04546e+00,6.78794e+00
ch4_004,6,02,08,3.00600e-01,1.91427e+00,1.65900e-05,2.56687e+00,4.78187e+00
ch4_004,6,02,16,2.89228e-01,1.59648e+00,2.39200e-05,1.88956e+00,3.77543e+00
ch4_004,6,02,32,4.87807e-01,1.93987e+00,1.68610e-05,1.99724e+00,4.42506e+00
ch4_004,6,04,01,8.33619e-02,4.24203e+00,1.70280e-05,8.43032e+00,1.27558e+01
ch4_004,6,04,02,1.14388e-01,2.62766e+00,1.62260e-05,4.53679e+00,7.27896e+00
ch4_004,6,04,04,2.89215e-01,1.80551e+00,1.70080e-05,2.80771e+00,4.90260e+00
ch4_004,6,04,08,3.45003e-01,1.39242e+00,1.77580e-05,1.89947e+00,3.63704e+00
ch4_004,6,04,16,3.75365e-01,1.11420e+00,1.56790e-05,1.43874e+00,2.92845e+00
ch4_004,6,04,32,3.17413e-01,1.29586e+00,1.76800e-05,1.16539e+00,2.77881e+00
ch4_004,6,08,01,7.75814e-02,2.64269e+00,2.50250e-05,5.05505e+00,7.77549e+00
ch4_004,6,08,02,7.97924e-02,1.47059e+00,9.03300e-06,2.74803e+00,4.29852e+00
ch4_004,6,08,04,7.34478e-02,9.36122e-01,1.87070e-05,1.68589e+00,2.69558e+00
ch4_004,6,08,08,1.00805e-01,7.81669e-01,1.48270e-05,1.10227e+00,1.98487e+00
ch4_004,6,08,16,9.06585e-02,5.62245e-01,1.74560e-05,7.92933e-01,1.44599e+00
ch4_004,6,08,32,2.96467e-01,6.23750e-01,1.84530e-05,6.59651e-01,1.58001e+00
ch4_004,6,16,01,6.19926e-02,1.86075e+00,8.61900e-06,3.43884e+00,5.36170e+00
ch4_004,6,16,02,3.81155e-02,1.11435e+00,8.68600e-06,2.13302e+00,3.28561e+00
ch4_004,6,16,04,6.02727e-02,6.18887e-01,7.49700e-06,1.12981e+00,1.80910e+00
ch4_004,6,16,08,6.19705e-02,5.05054e-01,1.04400e-05,7.80567e-01,1.34773e+00
ch4_004,6,16,16,7.52627e-02,3.90822e-01,1.82290e-05,5.83756e-01,1.04998e+00
ch4_004,6,16,32,1.91388e-01,4.50917e-01,1.75450e-05,4.96101e-01,1.13856e+00
ch4_006,4,01,01,7.02957e-02,3.19105e+00,1.63490e-05,4.01066e+00,7.27214e+00
ch4_006,4,01,02,8.15870e-02,2.14462e+00,1.59430e-05,2.39925e+00,4.62559e+00
ch4_006,4,01,04,1.64550e-01,1.68265e+00,1.95150e-05,1.64470e+00,3.49206e+00
ch4_006,4,01,08,1.80373e-01,1.30828e+00,2.00060e-05,1.21551e+00,2.70431e+00
ch4_006,4,01,16,2.11212e-01,1.16959e+00,2.13460e-05,9.73214e-01,2.35417e+00
ch4_006,4,01,32,1.91197e-01,1.14221e+00,2.68660e-05,8.19720e-01,2.15330e+00
ch4_006,4,02,01,9.36733e-02,1.85937e+00,1.71940e-05,2.01033e+00,3.96350e+00
ch4_006,4,02,02,8.75563e-02,1.22969e+00,8.47600e-06,1.18101e+00,2.49838e+00
ch4_006,4,02,04,8.25358e-02,7.96832e-01,1.67630e-05,7.32762e-01,1.61227e+00
ch4_006,4,02,08,4.27248e-02,6.07246e-01,1.42070e-05,5.44343e-01,1.19444e+00
ch4_006,4,02,16,4.24208e-02,5.56670e-01,1.84040e-05,4.45352e-01,1.04458e+00
ch4_006,4,02,32,2.64927e-01,7.56521e-01,2.58560e-05,4.06755e-01,1.42837e+00
ch4_006,4,04,01,4.18589e-02,1.06639e+00,1.57710e-05,1.06629e+00,2.17466e+00
ch4_006,4,04,02,4.78796e-02,6.31768e-01,1.72870e-05,6.27184e-01,1.30696e+00
ch4_006,4,04,04,1.52748e-01,5.41813e-01,1.67610e-05,4.50268e-01,1.14496e+00
ch4_006,4,04,08,1.73726e-01,4.21031e-01,2.00370e-05,3.47523e-01,9.42424e-01
ch4_006,4,04,16,1.50014e-01,3.64156e-01,1.61130e-05,2.67226e-01,7.81526e-01
ch4_006,4,04,32,2.14867e-01,3.76650e-01,1.73700e-05,2.29596e-01,8.21259e-01
ch4_006,4,08,01,2.64037e-02,5.36854e-01,1.41790e-05,6.07744e-01,1.17113e+00
ch4_006,4,08,02,1.79627e-02,3.34872e-01,7.86400e-06,3.55476e-01,7.08428e-01
ch4_006,4,08,04,1.22646e-02,2.18191e-01,1.97470e-05,2.24980e-01,4.55560e-01
ch4_006,4,08,08,1.64678e-02,1.73461e-01,1.68490e-05,1.76279e-01,3.66330e-01
ch4_006,4,08,16,1.20304e-02,1.60876e-01,1.82120e-05,1.41153e-01,3.14183e-01
ch4_006,4,08,32,1.57310e-01,2.02124e-01,2.32980e-05,1.58747e-01,5.18350e-01
ch4_006,4,16,01,4.88585e-01,3.41991e-01,7.45000e-06,2.96605e-01,1.12729e+00
ch4_006,4,16,02,3.01670e-01,2.29769e-01,8.22800e-06,1.83282e-01,7.14830e-01
ch4_006,4,16,04,1.36638e-01,1.44928e-01,7.82200e-06,1.19495e-01,4.01177e-01
ch4_006,4,16,08,1.88797e-01,1.18567e-01,9.85700e-06,9.59159e-02,4.03411e-01
ch4_006,4,16,16,1.42948e-01,1.04041e-01,2.19170e-05,7.34439e-02,3.20566e-01
ch4_006,4,16,32,2.18249e-01,1.27915e-01,1.68530e-05,7.07802e-02,4.17229e-01
ch4_006,5,01,01,1.74626e-01,9.15501e+00,1.90400e-05,1.43055e+01,2.36352e+01
