molecule,prec,MPI,OMP,Lowdin matrix,Rotation,Total Lowdin
ch4_070,5,064,16,1.95538e+01,5.49279e+01,7.44818e+01
ch4_070,5,064,32,1.63651e+01,5.64329e+01,7.27981e+01
ch4_070,5,080,16,1.91349e+01,4.98467e+01,6.89817e+01
ch4_070,5,080,32,1.57292e+01,5.63947e+01,7.21240e+01
ch4_070,5,096,08,1.81730e+01,5.87623e+01,7.69353e+01
ch4_070,5,096,16,1.28205e+01,5.34956e+01,6.63163e+01
ch4_070,5,096,32,1.37704e+01,5.29359e+01,6.67064e+01
ch4_070,5,112,08,1.95619e+01,5.33107e+01,7.28727e+01
ch4_070,5,112,16,1.40088e+01,4.81488e+01,6.21578e+01
ch4_070,5,112,32,1.51597e+01,5.05674e+01,6.57272e+01
ch4_070,5,128,08,1.89337e+01,5.45222e+01,7.34560e+01
ch4_070,5,128,16,1.44247e+01,5.08763e+01,6.53010e+01
ch4_070,5,128,32,1.27971e+01,5.13328e+01,6.41301e+01
ch4_070,5,144,08,2.36157e+01,5.81402e+01,8.17560e+01
ch4_070,5,144,16,1.35464e+01,5.47181e+01,6.82646e+01
ch4_070,5,144,32,1.41813e+01,4.82609e+01,6.24423e+01
ch4_090,5,064,32,2.22850e+01,8.55167e+01,1.07802e+02
ch4_090,5,080,32,2.00932e+01,8.01953e+01,1.00289e+02
ch4_090,5,096,32,1.81242e+01,7.47585e+01,9.28829e+01
ch4_090,5,112,16,1.52566e+01,7.50113e+01,9.02681e+01
ch4_090,5,112,32,1.88578e+01,7.91140e+01,9.79719e+01
ch4_090,5,128,16,1.47766e+01,7.26253e+01,8.74020e+01
ch4_090,5,128,32,2.22359e+01,7.04191e+01,9.26552e+01
ch4_090,5,144,16,1.80738e+01,6.99235e+01,8.79974e+01
ch4_090,5,144,32,1.87934e+01,7.18756e+01,9.06693e+01
ch4_090,5,160,08,2.36587e+01,7.66770e+01,1.00336e+02
ch4_090,5,160,16,1.42712e+01,6.55073e+01,7.97787e+01
ch4_090,5,160,32,2.12157e+01,6.87248e+01,8.99406e+01
