molecule,MPI,OMP,orbs,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
alkane_070,128,32,281,5.68479e+00,5.90723e-01,2.77820e-05,3.22511e-01,6.59822e+00
alkane_070,144,08,281,5.00906e-01,4.60825e-01,1.10400e-05,2.89027e-01,1.25090e+00
alkane_070,144,16,281,5.38578e-01,3.66463e-01,1.74220e-05,2.12140e-01,1.11735e+00
alkane_070,144,32,281,8.80180e-01,5.89453e-01,2.26030e-05,2.65543e-01,1.73533e+00
alkane_090,064,32,361,8.60472e+00,1.32273e+00,3.18940e-05,6.54199e-01,1.05819e+01
alkane_090,080,32,361,1.75208e+01,1.08696e+00,2.92760e-05,5.30946e-01,1.91389e+01
alkane_090,096,32,361,4.24006e+00,8.41192e-01,2.57280e-05,4.54503e-01,5.53593e+00
alkane_090,112,16,361,3.85613e-01,6.95929e-01,1.96840e-05,3.97955e-01,1.47969e+00
alkane_090,112,32,361,3.82897e+00,9.10540e-01,2.52500e-05,4.23524e-01,5.16321e+00
alkane_090,128,16,361,8.11554e+00,5.51974e-01,1.83700e-05,3.48367e-01,9.01607e+00
alkane_090,128,32,361,1.97360e+00,7.37228e-01,2.95360e-05,2.91831e-01,3.00283e+00
alkane_090,144,16,361,2.25543e+01,4.86380e-01,1.74800e-05,2.82699e-01,2.33236e+01
alkane_090,144,32,361,7.03568e-01,6.03068e-01,2.20890e-05,3.24666e-01,1.63148e+00
alkane_090,160,08,361,4.01722e+00,5.44461e-01,9.35300e-06,4.57258e-01,5.01909e+00
alkane_090,160,16,361,1.10714e+01,4.50004e-01,1.36490e-05,3.17235e-01,1.18388e+01
alkane_090,160,32,361,6.41755e+00,5.76207e-01,3.45460e-05,3.29405e-01,7.32338e+00
