molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
ch4_002,5,08,01,1.441302790000000e+00,8.301427279000000e+00,9.74290e+00
ch4_002,5,08,02,1.255849760000000e+00,4.979045348000000e+00,6.23507e+00
ch4_002,5,08,04,7.224546110000000e-01,2.289230036000000e+00,3.01186e+00
ch4_002,5,08,08,5.456870020000000e-01,1.315928376000000e+00,1.86180e+00
ch4_002,5,08,16,5.061218250000000e-01,8.731607620000000e-01,1.37946e+00
ch4_002,5,08,32,4.785899310000000e-01,8.769298590000000e-01,1.35574e+00
ch4_002,6,01,01,8.828968091000000e+00,6.403097615300000e+01,7.28601e+01
ch4_002,6,01,02,5.193610262000000e+00,3.289703461300000e+01,3.80908e+01
ch4_002,6,01,04,3.536669340000000e+00,1.749887956300000e+01,2.10358e+01
ch4_002,6,01,08,2.576053948000000e+00,9.509207244000001e+00,1.20855e+01
ch4_002,6,01,16,2.174284042000000e+00,5.411033601000000e+00,7.58551e+00
ch4_002,6,01,32,2.031710381000000e+00,3.768330785000000e+00,5.80271e+00
ch4_002,6,02,01,5.437348791000000e+00,3.631127121300000e+01,4.17488e+01
ch4_002,6,02,02,3.331095030000000e+00,1.873876555200000e+01,2.20700e+01
ch4_002,6,02,04,2.256518041000000e+00,9.762838198000001e+00,1.20195e+01
ch4_002,6,02,08,1.779807243000000e+00,5.330906795000000e+00,7.11090e+00
ch4_002,6,02,16,1.530858617000000e+00,3.156912915000000e+00,4.68797e+00
ch4_002,6,02,32,1.574046723000000e+00,3.943942405000000e+00,5.51822e+00
ch4_002,6,04,01,3.865013421000000e+00,2.523419786500000e+01,2.90994e+01
ch4_002,6,04,02,2.132290833000000e+00,1.224686036100000e+01,1.43793e+01
ch4_002,6,04,04,1.590048509000000e+00,7.200183507000000e+00,8.79042e+00
ch4_002,6,04,08,1.293392545000000e+00,3.965440968000000e+00,5.25901e+00
ch4_002,6,04,16,1.022498932000000e+00,2.323687679000000e+00,3.34641e+00
ch4_002,6,04,32,1.062165061000000e+00,2.231589268000000e+00,3.29398e+00
ch4_002,6,08,01,5.611643087000000e+00,1.584913069400000e+01,2.14609e+01
ch4_002,6,08,02,1.773425681000000e+00,7.948718896000000e+00,9.72232e+00
ch4_002,6,08,04,1.232591747000000e+00,4.625252722000000e+00,5.85802e+00
ch4_002,6,08,08,9.837290800000000e-01,2.520931109000000e+00,3.50484e+00
ch4_002,6,08,16,8.930797780000000e-01,1.644446982000000e+00,2.53775e+00
ch4_002,6,08,32,8.002871850000000e-01,1.424461017000000e+00,2.22736e+00
ch4_004,4,01,01,3.793363377000000e+00,2.624066729700000e+01,3.00342e+01
ch4_004,4,01,02,2.458613336000000e+00,1.380313139300000e+01,1.62619e+01
ch4_004,4,01,04,1.828689086000000e+00,7.509555482000000e+00,9.33843e+00
ch4_004,4,01,08,1.435253729000000e+00,4.154219389000000e+00,5.58966e+00
